ID	Evidences length	Evidences list	Complete evidences
Q8DQ40	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ41	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQ71	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQ76	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ81	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ82	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ98	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQB0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQB1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQB9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQC0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQC2	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQD5	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQE8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQF5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQF9	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQH9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQJ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQJ6	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQK1	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DQK3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQK9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQL0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQM4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQM7	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQM9	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQN7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQR7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQR8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQS2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQS4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQV0	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQV9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQW0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQW3	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQW6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQX9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQY1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQY4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQY6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQZ4	1	SL	SL
Q8DR00	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR23	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR25	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR27	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR47	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR73	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR74	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR75	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR88	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR93	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DR94	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DR98	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR99	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRA2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRC9	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DRD0	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DRE5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRE7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DRF3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRF7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRF8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRG3	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DRG6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRG7	1	PHOBIUS_TM	PHOBIUS_TM
Q8DRH5	1	PHOBIUS_TM	PHOBIUS_TM
Q8DRI1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DRI8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRJ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRJ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRJ4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRJ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRJ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRK2	1	PHOBIUS_TM	PHOBIUS_TM
Q8DRK5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRL1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRL2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRM2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRN6	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DRN8	1	PHOBIUS_TM	PHOBIUS_TM
Q8DRQ0	1	SL	SL
V9H0I2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
